Acronym,Definition,Meaning,Department,Team/Area
MV,Market Value,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/576427/161129_Appraisal_Guidance.pdf,DLUHC,
MVA,Monetary Value Adjustment,,,
MVF ,Marginal Viable Funding,"Small scale, poli-filler",DLUHC,
MVFE,Monetary Value of Fraud Error,,,
MVP,Minimum Viable Product,,DfE,
MVP,Minimum Viable Product,,MoJ,
MVS,Multiple Virtual Storage,,DfE,
My Detail,A system used in prisons to detail staff. Also known as CSR (Corporate Staff Rostering) or InVision WFM,,MoJ,
N58,Network 58,,DfE,
NAA,National Assessment Agency,Launched in April 2004 to develop and deliver high-quality national curriculum tests and supervise the delivery and modernisation of GCSEs and A levels. Following the Sutherland Report in December 2008 the NAA was fully integrated into the QCDA.,DfE,
NAACE,National Association of Advisors for Computers in Education,"The National Association for all those interested in technology in education We are a community of educators, technologists and policy makers who share a vision for the role of technology in advancing education. Our members include teachers, school leaders, advisors and consultants working within and across all phases of UK education. As a professional association, we represent the voice of the UK education technology community in the schools sector at a national and international level, as well as supporting one another across the sector through conferences, courses and the dissemination of resources, research and reflection.Source: {NAACE website|https://www.naace.co.uk/about-naace/} accessed 2019-06-06",DfE,
NAAS (academic),New Academic Appointments Scheme,,DfE,
NAAS (assessment),National Assessment and Accreditation System (social workers),,DfE,
NACAB,National Association of Citizens Advice Bureaux,,DfE,
NACCCE,National Advisory Committee on Creative and Cultural Education,,DfE,
NACCEG,National Advisory Council for Careers and Educational Guidance,,DfE,
NACE,National Association for Able Children in Education,"Founded in 1983, NACE is recognised both nationally and internationally as a leading charity in the field of education for able learners. We provide guidance, support and training, enabling teachers to attain the best from able learners in the everyday classroom, whilst enabling all learners to flourish and achieve. We run a dynamic regional and national events and conference programme. Alongside this we offer bespoke CPD, and develop resources specifically for members.Source: {NACE|https://www.nace.co.uk/} accessed 2019-06-19",DfE,
NACEIC,National Advisory Council on Education for Industry and Commerce,,DfE,
NACEPD,National Advisory Council on Employment of People with Disabilities,,DfE,
NACETT,National Advisory Council on Education and Training Targets,,DfE,
NACP,National Association of Connexions Partnerships,"The National Association of Connexions Partnerships was formed in January 2003 to represent the interests of Connexions Partnerships in England. The association aims to 'improve the quality and consistency of services to young people'. To achieve this, it offers its members the opportunity to share information and good practice, represents the views of its members at all levels (local, regional and national), and gathers, analyses and spreads relevant information.Source: The Knowledge accessed 2019-06-19",DfE,
Nacro,National Association for the Care and Resettlement of Offenders,Formerly the National Association for the Care and Resettlement of Offenders,DfE,
NACRO,National Association of Care & Resettlement of Offender,A prisoner charity.,MoJ,
NACYS,National Advisory Council for Youth Services,,DfE,
NAEIAC,National Association of Educational Inspectors Advisers and Consultants,,DfE,
NAFE,Non-Advanced Further Education,Source: The Knowledge accessed 2019-06-06,DfE,
NAFN,National Anti Fraud Network,,,
NAGC,National Association for Gifted Children,"NAGC's mission is to support those who enhance the growth and development of gifted and talented children through education, advocacy, community building, and research. We aim to help parents and families, K-12 education professionals including support service personnel, and members of the research and higher education community who work to help gifted and talented children as they strive to achieve their personal best and contribute to their communities.Source: {NAGC website|http://www.nagc.org/about-nagc/who-we-are} accessed 2019-06-06",DfE,
NAGCEL,National Advisory Group on Continuing Education and Lifelong Learning,,DfE,
NAGM,National Association of Governors and Managers,,DfE,
NAGTY,National Academy for Gifted and Talented Youth,"2002-2007 Established by the government at the University of Warwick to improve provision for gifted and talented children and young people up to the age of 19, and to provide guidance, advice and development for teachers. Closed down 2010.Source: {The Guardian|http://www.theguardian.com/education/2010/feb/02/gifted-talented-scrapped-funds-redirected} accessed 2015-06-05",DfE,
NAHT,National Association of Head Teachers,Founded in 1897 as the London Head Teachers Association.Source: {NAHT website|https://www.naht.org.uk/about-us/our-history/} accessed 2019-06-18,DfE,
NALDIC,National Association for Language Development in the Curriculum,"Dating back to 1992, NALDIC (National Association for Language Development in the Curriculum) is the UKs national subject association for EAL. We are a charity and company limited by guarantee, registered with the Charities Commission (Charity No. 1110570) and Companies House (Company No. 05159760). NALDIC provides a professional forum for the teaching and learning of English as an additional language, supporting bilingualism, raising the achievement of ethnic minority learners, and promoting the development of research, policy and practice. We organise conferences and events, facilitate professional networks and produce a variety of publications, including the popular and influential termly EAL Journal.Source: {NALDIC website|https:/aldic.org.uk/about-naldic/organisation/} accessed 2019-06-06",DfE,
NALS,National Adult Learning Survey,The National Adult Learning Survey is a report on adult learning published by the National Audit Office in 2003. The actual survey was conducted in 2003. It found that 76 percent of adults questioned had participated in some form of organised learning in the previous three years. Source: The Knowledge accessed 2019-06-04,DfE,
NAMSS,National Association for Managers of Student Services,"NAMSS (National Association for Managers of Student Services), is a not-for-profit organisation established in 1987 as a registered charity with the Charity Commission and is a key stakeholder for Government department consultations including safeguarding, funding, learner wellbeing etc. NAMSS provides support and professional development for managers and colleagues who work in student services roles in post-16 education and training.Source: {NAMSS website|https://www.namss.ac.uk/about-namss} accessed 2019-06-06",DfE,
NAO,National Audit Office,,MoJ,
NAO,National Audit Office,,NAO,
NAO,National Audit Office,,NAO,
NAO,National Audit Office,,NHSx,Org Wide
NAO ,National Audit Office,,DLUHC,
NAP,National Adaptation Programme,Required under the Climate Change Act 2008. Every five years the Government must publish a programme of how it is adapting to climate change impacts identified in the CCRA (see separately). The NAP is for England and reserved matters- each of the Devolved Admnistrations have their own national programems for adapting to climate change,Civil Service Wide,"Defra Adaptation team lead on coordinating this, but responsibility to adapt to climate change risks is government-wide"
NAPE,National Association for Primary Education,"The National Association for Primary Education (NAPE) brings together everyone who has a concern for the learning of children from birth to 13 years. Members and affiliated schools work to improve education through the Early, Primary and Middle Years.Source: {NAPE website|https:/ape.org.uk/} accessed 2019-06-04",DfE,
NAPO,National Association of Probation Officers,,MoJ,
NAPP,National Academy for Parenting Practitioners,"Launched in November 2007 to improve the skills of the practitioners who supported parents in England. It closed in April 2010. Additional information below from The Knowledge accessed 2019-06-04 The National Academy for Parenting Practitioners (NAPP) was launched on 21 November 2007 to improve the quality of parenting support through training, developing and supporting practitioners in the sector. It will act as a national centre for academic research and provide practical support and solutions for parenting practitioners. The Academy's work focuses on four main areas research, training, knowledge exchange and parenting policies. It closed in April 2010.",DfE,
NARIC,National Academic Recognition Centre,"UK NARIC was the UKs National Agency responsible for providing information and opinion on academic, vocational and professional qualifications from across the world. As the National Agency, managed on behalf of the UK Government, UK NARIC provide the only official source of information on international education and training systems and qualifications and skills attained outside the UK. UK ENIC is the UK National Information Centre for the recognition and evaluation of international qualifications and skills. Following the UKs departure from the European Union, the UK NARIC recognition agency function has to change from a NARIC (which is an EU-only title) to an ENIC (the wider European title for national recognition agencies) in order to meet the UK's continuing treaty obligations under the Lisbon Recognition Convention. Therefore, on 1 March 2021, the UK NARIC agency title becomes UK ENIC, operated and managed by Ecctis Limited. Source accessed 2021-04-19",DfE,
